Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9754815,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,"Perkins, Stephanie",,"=""0142419400""","=""9780142419403""",4,3.97,Speak,Paperback,372,2011,2010,2015/01/15,2014/10/30,,,read,"I honestly liked how funny and sassy and sarcastic the characters were, but I didn't like how the only ones who got a happy ending were Anna and etienne (kinda etienne's mom and toph) I know there are other books in the series so I'm not judging too much.",,,1,0
11340586,Carnival of Souls,Melissa Marr,"Marr, Melissa",,"=""0061659282""","=""9780061659287""",5,3.66,HarperCollins,Hardcover,306,2012,2012,2015/02/21,2015/02/19,,,read,I am liking the concept of witches and daimons and I would LOVE to continue on reading so please publish the second book!!  ,,,1,0
13138635,"These Broken Stars (Starbound, #1)",Amie Kaufman,"Kaufman, Amie",Meagan Spooner,"=""1423171020""","=""9781423171027""",0,3.89,Disney Hyperion,Hardcover,389,2013,2013,,2015/02/17,to-read,to-read (#19),to-read,,,,0,0
19191143,The Winter Folly,Lulu Taylor,"Taylor, Lulu",,"=""023076911X""","=""9780230769113""",0,3.94,Pan Publishing,ebook,400,2013,2013,,2015/02/17,to-read,to-read (#18),to-read,,,,0,0
13455782,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062085506""","=""9780062085504""",5,3.86,HarperCollins,Paperback,338,2012,2011,2015/02/13,2015/02/12,,,read,AMAZING YOU HAVE TO READ IT ,,,1,0
24789575,"Fairest: Levana's Story (The Lunar Chronicles, #3.5)",Marissa Meyer,"Meyer, Marissa",,"=""1250069661""","=""9781250069665""",5,3.95,Feiwel & Friends,Paperback,222,2015,2015,2015/02/11,2015/02/11,,,read,,,,1,0
13023379,"Fallen in Love (Fallen, #3.5)",Lauren Kate,"Kate, Lauren",,"=""0857531646""","=""9780857531643""",4,3.75,Doubleday,Hardcover,201,2012,2012,2015/02/08,2015/02/06,,,read,,,,1,0
6845729,"Flood Child (Raiders' Ransom, #1)",Emily Diamand,"Diamand, Emily",,"=""1906427429""","=""9781906427429""",4,3.63,Chicken House Ltd,Paperback,383,2009,2008,2015/02/03,2015/02/02,,,read,,,,1,0
22465605,"Miss Mayhem (Rebel Belle, #2)",Rachel Hawkins,"Hawkins, Rachel",,"=""0399256946""","=""9780399256943""",0,3.46,Putnam Juvenile,Hardcover,273,2015,2015,,2015/02/01,to-read,to-read (#17),to-read,,,,0,0
18460392,All the Bright Places,Jennifer Niven,"Niven, Jennifer",,"=""0385755880""","=""9780385755887""",0,4.13,Knopf,Hardcover,378,2015,2015,,2015/02/01,to-read,to-read (#16),to-read,,,,0,0
18716399,"Cress (Lunar Chronicles, #3)",Marissa Meyer,"Meyer, Marissa",,"=""0141340150""","=""9780141340159""",5,4.41,Puffin Books,Paperback,550,2014,2014,2015/02/01,2015/02/01,,,read,Dear lord the ending of this book nearly killed me,,,1,0
47520,"Castle in the Air (Howl's Moving Castle, #2)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""0064473457""","=""9780064473453""",0,3.87,Greenwillow Books,Mass Market Paperback,298,2001,1990,,2015/01/28,to-read,to-read (#16),to-read,,,,0,0
13602234,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,"Meyer, Marissa",,"=""0141340231""","=""9780141340234""",5,4.24,Puffin Books,Paperback,452,2013,2013,2015/01/28,2015/01/27,,,read,,,,1,0
17416057,Don't Close Your Eyes: Wake; Fade; Gone,Lisa McMann,"McMann, Lisa",,"=""1442499133""","=""9781442499133""",5,4.13,Simon & Schuster Books for Young Readers,Paperback,690,2013,2011,2015/01/23,2015/01/25,,,read,"The book had a good concept about how you enter dreams and things like that. But what I really liked about the book was the realism of the character. She was seriously between a rock and a hard place in the book and I like how they didn't overly romanticise the fact that she chose Cabel. <br/><br/>In the end, everything was sort of concluded nicely without me going WTF. So I liked that I didn't hate the female protagonist in the end as I do most of the time :)",,,1,0
12139510,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,"Meyer, Marissa",,"=""0141340134""","=""9780141340135""",5,4.13,Puffin,Paperback,387,2012,2012,2015/01/25,2015/01/23,,,read,I have to say I LOVE THE CONCEPT. It's a kind of dystopian world I haven't read about before and the fact that it's a sort of fairy tale re-telling makes it all the better. I can't wait to read the next book!!!,,,1,0
8507024,The Cabinet of Curiosities,Paul Dowswell,"Dowswell, Paul",,"=""1408800454""","=""9781408800454""",3,3.26,Bloomsbury Publishing,Paperback,271,2011,2010,2015/01/16,2015/01/04,,,read,,,,1,0
13416087,Blink Once,Cylin Busby,"Busby, Cylin",,"=""1599908182""","=""9781599908182""",5,4.00,Bloomsbury USA Childrens,Hardcover,288,2012,2012,2015/01/04,2015/01/03,,,read,,,,1,0
